"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000130584.12",1.27363615551525,3.57580228096641,6.08810302401711,1.78989979524065e-07,0.0108575321579298,5.39072351917788
"ENSG00000279207.1",1.29665530322139,3.12987778175791,5.61955141854981,9.30093960043181e-07,0.0127872903128259,3.7533508355963
"ENSG00000164330.17",1.25309359940356,5.96736660004115,5.37139528060699,2.20854057824367e-06,0.0174437023578325,2.89691321942436
"ENSG00000135218.19",2.51618407706404,6.75282625594286,5.24990836458336,3.36350933546671e-06,0.0174437023578325,2.48113593704894
"ENSG00000136160.17",1.45659663464699,5.23723333553647,5.23593252103701,3.52982296437988e-06,0.0174437023578325,2.4334686878463
"ENSG00000197077.13",1.14987563676777,4.75289548835122,5.21092566099853,3.84792625896063e-06,0.0174437023578325,2.348265993735
"ENSG00000188559.15",1.06094982965114,4.51871056545114,5.2100941752845,3.85897604032474e-06,0.0174437023578325,2.34543493576365
"ENSG00000134780.10",1.05639036404801,2.67403876821775,5.19996367418038,3.99614574837718e-06,0.0174437023578325,2.31095263003428
"ENSG00000007314.12",1.63022425107323,2.07898062461964,5.16933498048454,4.4408298134171e-06,0.0174437023578325,2.20681438908839
"ENSG00000165810.17",1.88344408604537,4.39112904272613,5.00135468201771,7.90023569387449e-06,0.021050580240131,1.63894523198001
"ENSG00000118777.12",1.16212564294601,3.08733749940582,4.83927329074465,1.37096757586641e-05,0.0268267397264699,1.09673280474059
"ENSG00000171105.14",1.20366899528388,6.73031562422727,4.82769570952447,1.42575458604416e-05,0.0270269603716996,1.05823439000567
"ENSG00000163053.11",1.26217986643297,3.048397086218,4.78918729609302,1.62391979913502e-05,0.0275787009047011,0.930417454045482
"ENSG00000198478.8",1.00021192336149,4.39915409614402,4.77874202478045,1.68218254776449e-05,0.0275787009047011,0.895810249618087
"ENSG00000108381.11",2.09343205632571,3.57986097823801,4.69323236877366,2.24299026666751e-05,0.0319134448141878,0.613535580467486
"ENSG00000100300.18",-1.07620535322804,6.30970525390831,-4.65498061938221,2.54979423702882e-05,0.0319134448141878,0.487877816393693
"ENSG00000137962.13",1.05897553310751,5.43544630983197,4.64696038868301,2.6191561015932e-05,0.0319134448141878,0.461580703629657
"ENSG00000149639.15",1.01651748085237,6.77551418668665,4.64368618407722,2.64800124796389e-05,0.0319134448141878,0.450850069795999
"ENSG00000140450.9",1.19300166664054,5.0526929917748,4.62843180183616,2.78654610043272e-05,0.0319134448141878,0.400894792106769
"ENSG00000251322.9",1.19504259963175,5.35472283189996,4.59408408655424,3.12501883587991e-05,0.0319134448141878,0.288645723748143
"ENSG00000075461.6",2.28590083475418,2.6396827835234,4.59309877808349,3.13529999220674e-05,0.0319134448141878,0.285430531654937
"ENSG00000100065.15",1.15243433936317,4.24371880802092,4.59106543462032,3.15662164334202e-05,0.0319134448141878,0.278796318201879
"ENSG00000128833.13",1.2934541415315,2.83497087572612,4.5803368488939,3.27149426040435e-05,0.0325325970223161,0.243811176485925
"ENSG00000188042.8",-1.22870316064343,6.8791355109571,-4.4705239385515,4.70932116914514e-05,0.0403582167789652,-0.112384565276471
"ENSG00000074410.14",-2.36085586556504,4.27433473262314,-4.46959732367134,4.72376094841168e-05,0.0403582167789652,-0.115375135235913
"ENSG00000105514.8",1.02668756191715,3.05280669048857,4.44525782763291,5.11893207773622e-05,0.0431270027549276,-0.193836169374952
"ENSG00000272636.4",1.32652782574696,3.3615263355597,4.42261486529384,5.51544484743926e-05,0.0443351733332272,-0.266666578772533
