"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",200,-0.710368606678325,-2.28126670180037,1e-10,5e-09,5e-09,4209,"tags=66%, list=11%, signal=58%","DARS1/DYRK3/CFP/RARS1/HDAC9/TLR6/STAB1/IL18RAP/CDKN2A/IL2RB/CSK/FASLG/DEGS1/IFNAR2/IL4R/CD79A/LYN/EREG/CCL7/TAPBP/UBE2N/RIPK2/IL15/UBE2D1/EIF5A/IL10/GCNT1/TLR1/NLRP3/CCL11/HIF1A/TLR3/TRAT1/LCP2/KRT1/AARS1/RPS19/HLA-DOB/NPM1/ITGAL/EIF3D/FYB1/FGR/CD80/IRF7/IL16/CD40/GZMB/HLA-E/CD40LG/STAT4/CRTAM/CCL22/CCND2/BCL3/CD3G/CD28/ZAP70/MAP4K1/RPS3A/CD247/LCK/LIF/HLA-G/LY75/CCR2/B2M/PSMB10/CXCR3/GBP2/PTPRC/IL12RB1/RPS9/IGSF6/CXCL13/CXCL9/RPL39/CD8A/SIT1/SRGN/IL11/CCR5/CCR1/NCF4/CD86/CD8B/LY86/ITK/FLNA/BCAT1/CCL19/CD4/PRF1/GPR65/KLRD1/PTPN6/CTSS/CD3E/TGFB1/WAS/CD96/ITGB2/CD7/HLA-A/NME1/HCLS1/SPI1/TLR2/CD3D/IL18/CD2/LTB/IL7/TIMP1/IL2RG/HLA-DMA/THY1/HLA-DMB/GZMA/HLA-DOA/C2/CD74/CCL13/HLA-DRA/CCL5/IL2RA/FCGR2B/INHBA/HLA-DQA1/CAPG/MMP9",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",199,-0.560043022047204,-1.82041094270038,5.04791298311535e-09,8.41318830519225e-08,8.41318830519224e-08,4424,"tags=48%, list=12%, signal=43%","TDRD7/IFIH1/MYD88/IFI30/STAT2/MX1/GPR18/CASP3/RBCK1/ITGB7/SLC25A28/IL2RB/BST2/SOCS3/IFNAR2/IL4R/TNFSF10/LAP3/CCL7/TRIM14/TAPBP/RIPK2/IL15/IL10RA/PARP12/TNFAIP6/GCH1/RTP4/IL15RA/NMI/HIF1A/LCP2/NAMPT/TRIM21/CASP4/PSMA3/ZBP1/PLSCR1/SLAMF7/XCL1/CASP1/IRF7/CD40/UBE2L6/STAT4/CD38/CFH/RSAD2/PSME1/IRF5/HLA-G/MARCHF1/UPP1/B2M/PSMB10/CD274/CXCL9/CD69/CSF2RB/IFITM3/PSME2/CD86/HLA-B/PFKP/CIITA/MX2/PNP/PSMB8/VAMP5/PSMB9/EPSTI1/FPR1/PTPN6/ISG15/IFI35/CXCL11/SECTM1/LY6E/CXCL10/HLA-A/SERPING1/MVP/IFITM2/VAMP8/IL7/LGALS3BP/FCGR1A/C1R/HLA-DMA/C1S/GZMA/CD74/CCL5/HLA-DQA1/HLA-DRB1/MT2A",0.761460801445585
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",200,-0.546708061280775,-1.75568977018494,2.34824616544291e-08,2.93530770680363e-07,2.93530770680363e-07,3887,"tags=54%, list=11%, signal=48%","STAB1/IL18RAP/IL2RB/PVR/BST2/SELE/IL4R/TNFSF10/LYN/EREG/SLC31A2/CCL7/TAPBP/RIPK2/IL15/LTA/IL10RA/CXCL8/RGS16/TNFAIP6/SEMA4D/ITGB3/GCH1/RTP4/IL10/TLR1/SELENOS/NLRP3/NMUR1/IL15RA/NMI/OSMR/RASGRP1/HIF1A/TLR3/LCP2/OPRK1/NAMPT/SELL/P2RX4/IRF7/TPBG/CD40/OLR1/EMP3/CCL22/ADGRE1/RNF144B/TNFSF15/LCK/MMP14/EBI3/LIF/CYBB/MYC/MSR1/SLC1A2/PROK2/OSM/CSF3R/GPR132/TNFRSF9/CXCL9/CD69/PIK3R5/SCN1B/NPFFR2/NOD2/ITGA5/PTAFR/IL1R1/CXCL6/CLEC5A/GNA15/FPR1/RHOG/IL18R1/GPR183/CD48/CD14/CXCL11/LAMP3/LY6E/IFITM1/CXCR6/C3AR1/CCL20/CXCL10/C5AR1/SLAMF1/TLR2/IL18/CCL17/CD82/AQP9/TIMP1/MARCO/SERPINE1/IL7R/F3/AXL/SPHK1/PTGER2/CCL5/RGS1/INHBA/PLAUR",0.73376198835648
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,-0.575851603055027,-1.73163658542932,1.81218099149714e-05,9.0609049574857e-05,9.0609049574857e-05,4424,"tags=49%, list=12%, signal=44%","TDRD7/IFIH1/IFI30/STAT2/MX1/SLC25A28/BST2/IL4R/LAP3/TRIM14/RIPK2/IL15/OAS1/PARP12/RTP4/NMI/TRIM21/SELL/PSMA3/PLSCR1/CASP1/IRF7/UBE2L6/PROCR/RSAD2/PSME1/B2M/GBP2/UBA7/IFITM3/PSME2/PSMB8/HLA-C/PSMB9/EPSTI1/ISG15/IFI35/CXCL11/LAMP3/LY6E/IFITM1/CXCL10/IFITM2/IL7/LGALS3BP/C1S/GMPR/CD74",0.575610261071129
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.520193177936436,-1.67054028594971,3.66165282263245e-07,2.61546630188032e-06,2.61546630188032e-06,3329,"tags=46%, list=9%, signal=42%","GJA1/PTHLH/IL15/SNTB1/CXCL8/TPM1/QSOX1/LAMA1/ITGB3/PRRX1/FUCA1/VEGFC/WIPF1/GEM/BDNF/NTM/P3H1/SERPINH1/SDC4/SDC1/LOX/PLOD1/FBLN1/SNAI2/CDH11/COL7A1/SAT1/CXCL1/LOXL1/ACTA2/EMP3/CD59/TNFRSF11B/COL1A1/MMP14/CAP2/ITGAV/PCOLCE/PPIB/LUM/POSTN/FN1/VIM/GLIPR1/COL6A3/LGALS1/ITGA5/FLNA/CXCL6/NT5E/ADAM12/GADD45B/TNC/ENO2/COL8A2/EFEMP2/TGFB1/TAGLN/HTRA1/ECM1/MATN3/PLOD2/ITGB5/BASP1/TIMP1/SPP1/THY1/FMOD/MMP3/PDLIM4/MMP1/SERPINE1/GREM1/SCG2/TGFBI/BGN/CD44/ANPEP/COMP/FAP/MYL9/INHBA/TNFRSF12A/PLAUR/CAPG/CTHRC1/TPM2/SFRP4/NNMT/COL11A1/LRRC15",0.674962860011025
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",199,0.68528633845333,1.64038459017723,3.10688383546507e-09,7.76720958866268e-08,7.76720958866268e-08,6777,"tags=67%, list=18%, signal=55%","CDC42EP4/OPHN1/ARHGAP29/TOP2A/ARAP3/SPTBN1/RAPGEF5/ARHGAP5/BIN1/MYH10/TTK/GSN/TIAM1/ANLN/TPX2/CENPF/KIF15/KIF23/CEP192/KIF11/KIF4A/FBXO5/LLGL1/DST/ESPL1/APC/CDK1/SMC4/LMNB1/MARCKS/CEP131/SMC1A/FLNB/BUB1/INCENP/HDAC6/FGD4/WASF2/NEK2/ECT2/TRIO/AURKA/EPB41L2/CLASP1/NDC80/RFC1/KIF3B/NUMA1/ARHGEF12/KIF22/ABL1/CKAP5/RABGAP1/CNTRL/ARHGEF7/KIF1B/ARHGEF11/NOTCH2/LATS1/RASA1/PCNT/SSH2/TBCD/NEDD9/KIF20B/CENPE/ROCK1/RICTOR/STK38L/RALBP1/PIF1/PLEKHG2/WASL/KNTC1/RACGAP1/CLIP2/KIF2C/PAFAH1B1/TAOK2/CDC27/KIF5B/CCNB2/SHROOM1/ALMS1/DYNC1H1/PXN/CCDC88A/PCM1/ALS2/HOOK3/ITSN1/STAU1/GEMIN4/CEP72/TUBD1/DLGAP5/SOS1/CDK5RAP2/SEPTIN9/PLK1/SUN2/SORBS2/BIRC5/TSC1/SMC3/SYNPO/SASS6/NCK1/DOCK4/DYNLL2/NF1/MID1/BCL2L11/CDC42BPA/SPTAN1/CNTROB/RAB3GAP1/RASAL2/AKAP13/ACTN4/KATNB1/TUBGCP5/ARHGEF2/SAC3D1/CPAP/LRPPRC/ARHGAP27/CEP250/ARHGAP10/RANBP9/TUBGCP6/TUBGCP3/KIF3C/RAPGEF6",0.774939030136436
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",200,0.664729106844078,1.58173193720225,9.25703705924498e-08,9.25703705924498e-07,9.25703705924498e-07,5749,"tags=58%, list=16%, signal=50%","SMAD3/TOP2A/DMD/CDKN2C/TTK/TPX2/CENPF/KIF15/KIF23/NSD2/KIF11/POLE/STMN1/KIF4A/HMMR/FBXO5/MYBL2/KNL1/CCNA2/ESPL1/CASP8AP2/CDK1/SMC4/PLK4/MKI67/E2F1/LMNB1/TMPO/UBE2C/MARCKS/CDKN1B/SMC1A/BUB1/E2F2/CCNF/INCENP/STIL/RAD54L/SLC12A2/PBK/STAG1/NEK2/TNPO2/MCM2/AURKA/NDC80/CDC25A/POLQ/NUMA1/PURA/ILF3/KIF22/ABL1/EXO1/NOTCH2/SMC2/H2AZ2/CDC7/KMT5A/KIF20B/CENPE/RBL1/ARID4A/RAD21/RACGAP1/YTHDC1/BARD1/EZH2/KIF2C/TACC3/AURKB/MAD2L1/PAFAH1B1/CDC27/KIF5B/CCNB2/HMGN2/TROAP/FOXN3/CCNT1/PRP4K/RPS6KA5/MTF2/CUL3/CENPA/LIG3/FANCC/PLK1/AMD1/CBX1/UPF1/BIRC5/MAPK14/DR1/CDC6/PTTG1/NASP/CDC25B/SS18/MEIS2/SRSF1/CUL5/CTCF/CHAF1A/CDKN3/SRSF10/PDS5B/XPO1/CDC20/DBF4/GINS2/MAP3K20/WRN/RAD23B/RASAL2/CKS2/H2AX",0.704975715167238
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.660284114328029,1.57115501714434,1.57618423602047e-07,1.31348686335039e-06,1.31348686335039e-06,7309,"tags=66%, list=20%, signal=53%","TOP2A/SPC24/CDKN2C/DEPDC1/KIF18B/PPM1D/POLE/STMN1/KIF4A/HMMR/MYBL2/USP1/CBX5/ESPL1/CDCA8/CDK1/BUB1B/CIT/SMC4/PLK4/ASF1B/MKI67/LMNB1/TMPO/RAD51AP1/SPAG5/CDKN1B/SMC1A/MCM4/STAG1/TIMELESS/NCAPD2/MCM2/AURKA/BRMS1L/PRKDC/MMS22L/TRIP13/GINS1/CCP110/RFC1/CDC25A/CCNE1/ILF3/KIF22/PSIP1/GINS3/GINS4/NUP107/CENPE/PAN2/SHMT1/NUP153/CDCA3/RAD21/RACGAP1/ING3/BARD1/MSH2/ASF1A/ATAD2/EZH2/RBBP7/KIF2C/TACC3/AURKB/RPA1/DONSON/MAD2L1/UBE2T/DNMT1/TUBG1/CCNB2/NUDT21/NUP205/WEE1/CDKN1A/PMS2/MELK/TCF19/PSMC3IP/BRCA1/TK1/DCLRE1B/DLGAP5/RAD51C/MXD3/PLK1/CSE1L/RAD1/POLD3/BIRC5/SMC3/PTTG1/NASP/CDC25B/LUC7L3/HELLS/UNG/SRSF1/PNN/SPC25/UBR7/CTCF/LIG1/HMGB2/CDKN3/PDS5B/XPO1/CDC20/DIAPH3/DEK/CKS2/RFC3/H2AX/TP53/DCK/SUV39H1/ANP32E/E2F8/ZW10/ORC2/ORC6/LBR/SYNCRIP/TIPIN/MCM3/TUBB/RAD50/WDR90/CNOT9/HMGB3",0.690132458796796
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,-0.522577876210487,-1.5418285043286,0.0014275038640199,0.00549039947699963,0.00549039947699963,3617,"tags=49%, list=10%, signal=45%","SOCS3/IL4R/LTBR/CSF2/CCL7/IL17RA/ITGB3/IL15RA/OSMR/CRLF2/INHBE/IL1R2/CXCL1/CXCL3/CD38/EBI3/IL12RB1/CXCL13/CSF3R/CXCL9/HMOX1/CSF2RB/BAK1/IL13RA1/PIK3R5/CCR1/IL1R1/MAP3K8/IL18R1/CD14/CXCL11/TGFB1/CXCL10/ITGA4/TLR2/LTB/CSF2RA/IL7/IL2RG/PDGFC/CD44/IL2RA/TNFRSF12A",0.45505986738723
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",138,-0.486884424916071,-1.54084151022367,0.00011566398987164,0.000481933291131832,0.000481933291131832,3070,"tags=37%, list=8%, signal=34%","CLU/KLKB1/S100A13/ITGB3/GDA/PLAT/ARF4/C8A/PRSS23/PLEK/C8B/MMP7/FGA/F12/C3/OLR1/CTSH/CFH/FGG/C8G/THBD/MMP14/MSRB2/ANG/F2RL2/C1QA/MMP10/FN1/CSRP1/SERPINB2/DPP4/HTRA1/MMP8/SERPING1/MMP11/APOC1/TIMP1/C1R/C1S/CFI/MMP3/MMP1/SERPINE1/C2/F3/SERPINA1/CTSB/PLAU/COMP/MMP9/CTSK",0.538434096309916
