DATASET_COLORSTRIP
 SEPARATOR TAB
 DATASET_LABEL	Clusters
 COLOR	#000000
TCGA-3B-A9HO-01A-11R-A38C-07 	 color 	 #E41A1C 
TCGA-DX-A6BE-01A-41R-A32Q-07 	 color 	 #E41A1C 
TCGA-3B-A9HS-01A-11R-A39D-07 	 color 	 #377EB8 
TCGA-DX-A2J0-01A-11R-A21T-07 	 color 	 #E41A1C 
TCGA-DX-A23Y-01A-11R-A27Q-07 	 color 	 #4DAF4A 
TCGA-DX-A6BH-01A-12R-A30C-07 	 color 	 #E41A1C 
TCGA-DX-A3LY-01B-11R-A27Q-07 	 color 	 #E41A1C 
TCGA-DX-A3LS-01A-11R-A21T-07 	 color 	 #984EA3 
TCGA-DX-A240-01A-32R-A27Q-07 	 color 	 #377EB8 
TCGA-DX-A3U6-01A-11R-A29R-07 	 color 	 #E41A1C 
TCGA-DX-A1L4-01A-12R-A26T-07 	 color 	 #377EB8 
TCGA-DX-A6BG-01A-11R-A30C-07 	 color 	 #377EB8 
TCGA-DX-A7ES-01A-31R-A39D-07 	 color 	 #E41A1C 
TCGA-DX-AB2S-01A-11R-A39D-07 	 color 	 #E41A1C 
TCGA-DX-A1KY-01A-11R-A24X-07 	 color 	 #984EA3 
TCGA-3B-A9HL-01A-11R-A38C-07 	 color 	 #4DAF4A 
TCGA-DX-A23R-01A-11R-A26T-07 	 color 	 #984EA3 
TCGA-DX-A6BF-01A-11R-A30C-07 	 color 	 #E41A1C 
TCGA-DX-A2J4-01A-32R-A21T-07 	 color 	 #E41A1C 
TCGA-DX-A3M1-01A-11R-A22K-07 	 color 	 #E41A1C 
TCGA-3R-A8YX-01A-11R-A37L-07 	 color 	 #984EA3 
TCGA-FX-A3NK-01A-11R-A21T-07 	 color 	 #377EB8 
TCGA-FX-A2QS-01A-11R-A21T-07 	 color 	 #984EA3 
TCGA-DX-AB37-01A-11R-A41I-07 	 color 	 #E41A1C 
TCGA-SG-A6Z7-01A-12R-A32Q-07 	 color 	 #984EA3 
TCGA-DX-A1KZ-01A-11R-A24X-07 	 color 	 #E41A1C 
TCGA-DX-AB2G-01A-11R-A39D-07 	 color 	 #E41A1C 
TCGA-DX-AB36-01A-11R-A41I-07 	 color 	 #377EB8 
TCGA-DX-A1L1-01A-11R-A24X-07 	 color 	 #377EB8 
TCGA-DX-AB2H-01A-11R-A39D-07 	 color 	 #377EB8 
TCGA-DX-A2IZ-01A-11R-A21T-07 	 color 	 #377EB8 
TCGA-DX-A1L0-01A-11R-A24X-07 	 color 	 #4DAF4A 
TCGA-PC-A5DN-01A-12R-A27Q-07 	 color 	 #377EB8 
TCGA-DX-A3LT-01A-12R-A21T-07 	 color 	 #377EB8 
TCGA-DX-AB35-01A-21R-A41I-07 	 color 	 #984EA3 
TCGA-DX-A1KW-01A-22R-A24X-07 	 color 	 #4DAF4A 
TCGA-HB-A3YV-01A-11R-A24X-07 	 color 	 #984EA3 
TCGA-DX-A23V-01A-11R-A29R-07 	 color 	 #E41A1C 
TCGA-DX-A2J1-01A-11R-A21T-07 	 color 	 #E41A1C 
TCGA-DX-A7EI-01A-11R-A33J-07 	 color 	 #377EB8 
TCGA-DX-A3LW-01A-21R-A21T-07 	 color 	 #E41A1C 
TCGA-DX-A3U5-01A-11R-A22K-07 	 color 	 #E41A1C 
TCGA-DX-A1L3-01A-11R-A24X-07 	 color 	 #E41A1C 
TCGA-DX-AB3A-01A-11R-A41I-07 	 color 	 #4DAF4A 
TCGA-DX-A3LU-01A-11R-A21T-07 	 color 	 #E41A1C 
TCGA-DX-A48N-01A-11R-A30C-07 	 color 	 #377EB8 
TCGA-DX-AB2F-01A-11R-A38C-07 	 color 	 #E41A1C 
TCGA-WK-A8XO-01A-11R-A37L-07 	 color 	 #377EB8 
TCGA-DX-A1KU-01A-32R-A24X-07 	 color 	 #377EB8 
TCGA-DX-A23T-01A-11R-A26T-07 	 color 	 #E41A1C 
