DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Lipid_Score
COLOR	#FF0000
FIELD_COLORS	#FFFFFF
TCGA-3B-A9HO-01A-11R-A38C-07 	 -0.6600829 
TCGA-DX-A6BE-01A-41R-A32Q-07 	 -0.8670807 
TCGA-3B-A9HS-01A-11R-A39D-07 	 0.2587431 
TCGA-DX-A2J0-01A-11R-A21T-07 	 0.09766176 
TCGA-DX-A23Y-01A-11R-A27Q-07 	 1.146298 
TCGA-DX-A6BH-01A-12R-A30C-07 	 -0.5455339 
TCGA-DX-A3LY-01B-11R-A27Q-07 	 0.05281733 
TCGA-DX-A3LS-01A-11R-A21T-07 	 0.5532891 
TCGA-DX-A240-01A-32R-A27Q-07 	 -0.537604 
TCGA-DX-A3U6-01A-11R-A29R-07 	 -0.5291854 
TCGA-DX-A1L4-01A-12R-A26T-07 	 -0.3164674 
TCGA-DX-A6BG-01A-11R-A30C-07 	 -0.1942626 
TCGA-DX-A7ES-01A-31R-A39D-07 	 -0.4207764 
TCGA-DX-AB2S-01A-11R-A39D-07 	 -0.4645791 
TCGA-DX-A1KY-01A-11R-A24X-07 	 0.1204104 
TCGA-3B-A9HL-01A-11R-A38C-07 	 1.051539 
TCGA-DX-A23R-01A-11R-A26T-07 	 0.5735486 
TCGA-DX-A6BF-01A-11R-A30C-07 	 -0.5866576 
TCGA-DX-A2J4-01A-32R-A21T-07 	 -0.7437655 
TCGA-DX-A3M1-01A-11R-A22K-07 	 -0.2226445 
TCGA-3R-A8YX-01A-11R-A37L-07 	 1.047796 
TCGA-FX-A3NK-01A-11R-A21T-07 	 -0.1222701 
TCGA-FX-A2QS-01A-11R-A21T-07 	 0.1420258 
TCGA-DX-AB37-01A-11R-A41I-07 	 -0.3812083 
TCGA-SG-A6Z7-01A-12R-A32Q-07 	 0.3823381 
TCGA-DX-A1KZ-01A-11R-A24X-07 	 0.1269351 
TCGA-DX-AB2G-01A-11R-A39D-07 	 -0.4382804 
TCGA-DX-AB36-01A-11R-A41I-07 	 0.3117632 
TCGA-DX-A1L1-01A-11R-A24X-07 	 0.5208174 
TCGA-DX-AB2H-01A-11R-A39D-07 	 0.4842408 
TCGA-DX-A2IZ-01A-11R-A21T-07 	 0.2400069 
TCGA-DX-A1L0-01A-11R-A24X-07 	 0.8320447 
TCGA-PC-A5DN-01A-12R-A27Q-07 	 -0.2276024 
TCGA-DX-A3LT-01A-12R-A21T-07 	 -0.4351496 
TCGA-DX-AB35-01A-21R-A41I-07 	 0.7675054 
TCGA-DX-A1KW-01A-22R-A24X-07 	 1.323102 
TCGA-HB-A3YV-01A-11R-A24X-07 	 0.1759731 
TCGA-DX-A23V-01A-11R-A29R-07 	 -0.2519513 
TCGA-DX-A2J1-01A-11R-A21T-07 	 -0.8610363 
TCGA-DX-A7EI-01A-11R-A33J-07 	 -0.5211307 
TCGA-DX-A3LW-01A-21R-A21T-07 	 0.3535724 
TCGA-DX-A3U5-01A-11R-A22K-07 	 -0.03780587 
TCGA-DX-A1L3-01A-11R-A24X-07 	 0.3772955 
TCGA-DX-AB3A-01A-11R-A41I-07 	 0.2119445 
TCGA-DX-A3LU-01A-11R-A21T-07 	 -0.5815854 
TCGA-DX-A48N-01A-11R-A30C-07 	 -0.1989057 
TCGA-DX-AB2F-01A-11R-A38C-07 	 0.1512088 
TCGA-WK-A8XO-01A-11R-A37L-07 	 -0.1188305 
TCGA-DX-A1KU-01A-32R-A24X-07 	 -0.2667167 
TCGA-DX-A23T-01A-11R-A26T-07 	 -0.7717631 
