"CellType","GeneSymbol","EntrezID","Description"
"B cells","BANK1","55024","B cell scaffold protein with ankyrin repeats 1"
"Macrophages","CD163","9332","CD163 molecule"
"B cells","CD19","930","CD19 molecule"
"Dendritic cells","CD1C","911","CD1c molecule"
"CD4+ T cells","CD4","920","CD4 molecule"
"CD4+ T cells","CD40LG","959","CD40 ligand"
"Macrophages","CD68","968","CD68 molecule"
"B cells","CD79A","973","CD79a molecule"
"CD8+ T cells","CD8A","925","CD8 subunit alpha"
"CD8+ T cells","CD8B","926","CD8 subunit beta"
"Dendritic cells","CLEC9A","283420","C-type lectin domain containing 9A"
"Macrophages","CSF1R","1436","colony stimulating factor 1 receptor"
"Neutrophils","CSF3R","1441","colony stimulating factor 3 receptor"
"Treg","CTLA4","1493","cytotoxic T-lymphocyte associated protein 4"
"Neutrophils","CXCR2","3579","C-X-C motif chemokine receptor 2"
"Neutrophils","FCGR3B","2215","Fc gamma receptor IIIb"
"Dendritic cells","FLT3","2322","fms related receptor tyrosine kinase 3"
"Treg","FOXP3","50943","forkhead box P3"
"Th2 cells","GATA3","2625","GATA binding protein 3"
"CD8+ T cells","GZMB","3002","granzyme B"
"CD8+ T cells","GZMK","3003","granzyme K"
"CD4+ T cells","ICOS","29851","inducible T cell costimulator"
"Th1 cells","IFNG","3458","interferon gamma"
"Treg","IKZF2","22807","IKAROS family zinc finger 2"
"Th1 cells","IL12RB2","3595","interleukin 12 receptor subunit beta 2"
"Th17 cells","IL17A","3605","interleukin 17A"
"Th17 cells","IL23R","149233","interleukin 23 receptor"
"Treg","IL2RA","3559","interleukin 2 receptor subunit alpha"
"Th2 cells","IL4","3565","interleukin 4"
"Th2 cells","IL5","3567","interleukin 5"
"CD4+ T cells","IL7R","3575","interleukin 7 receptor"
"Dendritic cells","ITGAX","3687","integrin subunit alpha X"
"NK cells","KLRD1","3824","killer cell lectin like receptor D1"
"NK cells","KLRK1","22914","killer cell lectin like receptor K1"
"Macrophages","MRC1","4360","mannose receptor C-type 1"
"B cells","MS4A1","931","membrane spanning 4-domains A1"
"NK cells","NCAM1","4684","neural cell adhesion molecule 1"
"NK cells","NCR1","9437","natural cytotoxicity triggering receptor 1"
"Th17 cells","RORC","6097","RAR related orphan receptor C"
"Neutrophils","S100A9","6280","S100 calcium binding protein A9"
"Th1 cells","STAT1","6772","signal transducer and activator of transcription 1"
"Th17 cells","STAT3","6774","signal transducer and activator of transcription 3"
"Th2 cells","STAT6","6778","signal transducer and activator of transcription 6"
"Th1 cells","TBX21","30009","T-box transcription factor 21"
